"Symbol","Name","DACS Sector","DACS Industry Group","DACS Industry","Weight"
"avax","Avalanche","Smart Contract Platform","Layer 1","Layer 1","0.0"
"btc","Bitcoin","Currency","Transparent","Transparent DeFi Currency","85.52"
"eth","Ethereum","Smart Contract Platform","Layer 1","Layer 1","11.32"
"sol","Solana","Smart Contract Platform","Layer 1","Layer 1","3.16"
"xrp","XRP","Currency","BaaS","Payments","0.0"
