"Symbol","Name","DACS Sector","DACS Industry Group","DACS Industry","Weight"
"dai","Dai","Stablecoin","Crypto-Backed Stablecoin","Crypto-Backed Stablecoin","1.66"
"pyusd","PayPal Stablecoin","Stablecoin","Fiat-Backed Stablecoin","Fiat-Backed Stablecoin","0.0"
"usdc","USDC","Stablecoin","Fiat-Backed Stablecoin","Fiat-Backed Stablecoin","28.38"
"usdt","Tether","Stablecoin","Fiat-Backed Stablecoin","Fiat-Backed Stablecoin","69.96"
